sf,arm,table,rows,table_gb,files,file_mb,row_groups,rows_per_group,dict_pct,key,overlaps,sorting,full_runs,run1_total_s,run2_total_s,run3_total_s,cold_p50_ms,cold_p95_ms,cold_max_ms,warm_p50_ms,warm_p95_ms,warm_max_ms,note
100,Fabric: partition per date + Z-order + V-Order,catalog_sales,142557716,11.22,1836,6.3,1836,77646,100.0,cs_sold_date_sk,0,partitioned on the key (one value per file),6,70.5,2.3,2.4,1000.0,24100.0,26518.0,119.0,373.0,797.0,the Z-order reorders rows inside each file; it cannot help elimination -- one date per file already does
100,Databricks: clustered by date,catalog_sales,142557716,7.81,128,62.5,128,1113732,80.4,cs_sold_date_sk,0,eliminable,9,36.0,2.5,2.4,820.0,9627.0,14317.0,122.0,343.0,707.0,
100,"Databricks: clustered by date, snappy",catalog_sales,142557716,8.73,64,139.6,64,2227464,96.8,cs_sold_date_sk,0,eliminable,3,42.0,2.6,2.4,806.0,17014.0,17119.0,121.0,362.0,501.0,
100,"Databricks: clustered by date, snappy",store_sales,262082396,9.15,64,146.5,64,4095037,100.0,ss_sold_date_sk,0,eliminable,3,42.0,2.6,2.4,806.0,17014.0,17119.0,121.0,362.0,501.0,
100,Databricks: clustered by date,store_sales,262082396,8.8,128,70.4,128,2047519,100.0,ss_sold_date_sk,0,eliminable,9,36.0,2.5,2.4,820.0,9627.0,14317.0,122.0,343.0,707.0,
100,Fabric: partition per date + Z-order + V-Order,store_sales,262082396,12.89,1823,7.2,1823,143764,100.0,ss_sold_date_sk,0,partitioned on the key (one value per file),6,70.5,2.3,2.4,1000.0,24100.0,26518.0,119.0,373.0,797.0,the Z-order reorders rows inside each file; it cannot help elimination -- one date per file already does
100,delta_rs: sorted per date,catalog_sales,142557716,8.41,35,246.1,69,2066054,100.0,cs_sold_date_sk,2,3% of neighbours overlap,6,17.7,2.4,2.5,378.0,6278.0,7282.0,145.0,405.0,1239.0,
100,delta_rs: sorted per date,store_sales,262082396,11.31,47,246.5,93,2818090,100.0,ss_sold_date_sk,10,11% of neighbours overlap,6,17.7,2.4,2.5,378.0,6278.0,7282.0,145.0,405.0,1239.0,
100,Databricks: partition per date,catalog_sales,142557716,7.7,1836,4.3,1836,77646,47.1,cs_sold_date_sk,0,partitioned on the key (one value per file),9,159.2,2.7,2.6,1005.0,39502.0,43362.0,124.0,366.0,792.0,
100,Databricks: partition per date,store_sales,262082396,9.16,1823,5.1,1823,143764,52.8,ss_sold_date_sk,0,partitioned on the key (one value per file),9,159.2,2.7,2.6,1005.0,39502.0,43362.0,124.0,366.0,792.0,
100,Databricks: the recipe (6M rows per file),catalog_sales,142557716,7.2,24,307.0,24,5939905,100.0,cs_sold_date_sk,23,96% of neighbours overlap,6,32.4,9.4,7.9,902.0,8584.0,12994.0,207.0,2827.0,8323.0,
100,Databricks: the recipe (6M rows per file),store_sales,262082396,8.3,47,180.9,47,5576221,99.9,ss_sold_date_sk,46,98% of neighbours overlap,6,32.4,9.4,7.9,902.0,8584.0,12994.0,207.0,2827.0,8323.0,
100,Databricks: 8M rows per file,catalog_sales,142557716,7.08,20,362.5,20,7127886,100.0,cs_sold_date_sk,18,90% of neighbours overlap,3,151.8,9.4,10.0,2699.0,63822.0,63840.0,213.0,2838.0,8690.0,
100,Databricks: 8M rows per file,store_sales,262082396,8.16,34,245.7,34,7708306,100.0,ss_sold_date_sk,33,97% of neighbours overlap,3,151.8,9.4,10.0,2699.0,63822.0,63840.0,213.0,2838.0,8690.0,
100,Fabric: V-Order,catalog_sales,142557716,9.62,24,410.5,92,1549540,100.0,cs_sold_date_sk,91,99% of neighbours overlap,6,32.3,11.2,11.9,684.0,9122.0,17620.0,258.0,6320.0,12049.0,
100,Fabric: V-Order,store_sales,262082396,10.75,45,244.7,89,2944746,100.0,ss_sold_date_sk,88,99% of neighbours overlap,6,32.3,11.2,11.9,684.0,9122.0,17620.0,258.0,6320.0,12049.0,
100,delta_rs: auto sort key,catalog_sales,142557716,12.31,56,225.1,56,2545674,100.0,cs_sold_date_sk,55,98% of neighbours overlap,3,46.3,14.5,14.2,211.0,13599.0,19773.0,197.0,4344.0,15280.0,"SORTED BY AUTO picked its own key -- it minimises modelled memory, not pruning -- so the date key the queries filter on is unordered"
100,delta_rs: auto sort key,store_sales,262082396,12.96,55,241.3,109,2404426,100.0,ss_sold_date_sk,108,99% of neighbours overlap,3,46.3,14.5,14.2,211.0,13599.0,19773.0,197.0,4344.0,15280.0,"SORTED BY AUTO picked its own key -- it minimises modelled memory, not pruning -- so the date key the queries filter on is unordered"
1000,delta_rs: sorted per date,catalog_sales,1425579810,84.93,344,252.8,687,2075080,100.0,cs_sold_date_sk,65,9% of neighbours overlap,9,344.2,245.5,246.4,20062.0,70488.0,79171.0,14936.0,44202.0,64138.0,
1000,delta_rs: sorted per date,store_sales,2620785279,114.71,467,251.5,933,2808987,100.0,ss_sold_date_sk,115,12% of neighbours overlap,9,344.2,245.5,246.4,20062.0,70488.0,79171.0,14936.0,44202.0,64138.0,
1000,Fabric: partition per date + Z-order + V-Order,catalog_sales,1425579810,99.76,1836,55.6,1839,775193,100.0,cs_sold_date_sk,0,partitioned on the key (one value per file),6,498.1,332.5,299.0,25718.0,95117.0,102300.0,17672.0,51316.0,55050.0,the Z-order reorders rows inside each file; it cannot help elimination -- one date per file already does
1000,Fabric: partition per date + Z-order + V-Order,store_sales,2620785279,112.6,1823,63.2,1823,1437622,100.0,ss_sold_date_sk,0,partitioned on the key (one value per file),6,498.1,332.5,299.0,25718.0,95117.0,102300.0,17672.0,51316.0,55050.0,the Z-order reorders rows inside each file; it cannot help elimination -- one date per file already does
1000,Databricks: clustered by date,catalog_sales,1425579810,78.49,364,220.8,364,3916428,100.0,cs_sold_date_sk,363,100% of neighbours overlap,8,523.4,389.5,387.2,30646.0,71258.0,85298.0,21394.0,60603.0,66504.0,CLUSTER BY did not sort the rows at this scale -- 100% of neighbouring row groups still overlap
